Date,DNA_extraction_plate,Row,Column,Barcode,BarcodeOld,SampleType,Sample,Fruit,Cage,Greenhouse,EmergenceDate,Dead,Volume,Locality,SamplingDate,Comments,ZiplocBag
18/10/2022,G6,G,6,FRT_BL_ISL_UNF_XX,FRT_BL_ISL_UNF_XX,FRT,pool of 5 uninfested fresh blackberries (BL F),BL,NA,NA,NA,NA,5 x 40ul,Isle-sur-la-Sorgue,Sampled on the 13/10/2022,(use only 5 among the 8 bags),A
18/10/2022,A9,A,9,FRT_BL_ISL_UNO_XX,FRT_BL_ISL_UNO_XX,FRT,pool of 5 uninfested old blackberries (BL O),BL,NA,NA,NA,NA,5 x 40ul,Isle-sur-la-Sorgue,Sampled on the 13/10/2022,,B
18/10/2022,H6,H,6,FRT_BL_CAR_UNF_XX,FRT_BL_CAR_UNF_XX,FRT,pool of 5 uninfested fresh blackberries (BL F),BL,NA,NA,NA,NA,5 x 40ul,Carpentras,Sampled on the 14/10/2022,,C
18/10/2022,B9,B,9,FRT_BL_CAR_UNO_XX,FRT_BL_CAR_UNO_XX,FRT,pool of 5 uninfested old blackberries (BL O),BL,NA,NA,NA,NA,5 x 40ul,Carpentras,Sampled on the 14/10/2022,,D
18/10/2022,H7,H,7,FRT_BL_MAZ_UNF_01,FRT_BL_MAZ_UNF_01,FRT,pools of 5 uninfested fresh blackberries (BL F),BL,NA,NA,NA,NA,5 x 40ul,Mazan,Sampled on the 14/10/2022,,E
18/10/2022,A8,A,8,FRT_BL_MAZ_UNF_02,FRT_BL_MAZ_UNF_02,FRT,pools of 5 uninfested fresh blackberries (BL F),BL,NA,NA,NA,NA,5 x 40ul,Mazan,Sampled on the 14/10/2022,,E
18/10/2022,B8,B,8,FRT_BL_MAZ_UNF_03,FRT_BL_MAZ_UNF_03,FRT,pools of 5 uninfested fresh blackberries (BL F),BL,NA,NA,NA,NA,5 x 40ul,Mazan,Sampled on the 14/10/2022,,E
18/10/2022,C8,C,8,FRT_BL_MAZ_UNF_04,FRT_BL_MAZ_UNF_04,FRT,pools of 5 uninfested fresh blackberries (BL F),BL,NA,NA,NA,NA,5 x 40ul,Mazan,Sampled on the 14/10/2022,,E
18/10/2022,C7,C,7,FRT_BL_MAZ_INF_01,FRT_BL_MAZ_INF_XX,FRT,pool of 4 infested blackberries,BL,NA,NA,NA,NA,4 x 50ul,Mazan,Sampled on the 14/10/2022,,G
18/10/2022,D7,D,7,FRT_BL_MAZ_INF_02,FRT_BL_MAZ_INF_XX,FRT,"pool of 4 infested blackberries (labelled ""dead"")",BL,NA,NA,NA,NA,4 x 50ul,Mazan,Sampled on the 14/10/2022,,H
18/10/2022,F8,F,8,FRT_ST_MAZ_UNF_01,FRT_ST_MAZ_UNF_01,FRT,pools of 5 uninfested strawberries,ST,NA,NA,NA,NA,5 x 40ul,Mazan,Sampled on the 14/10/2022,,I
